variable,visits,unique_visits,pageviews,pages_visit,avg_time,bounce_rate,pct_new,revenue,profit,lbs_sold,inquiries
visits,1,0.9994880551678327,0.9690719233562537,-0.7807306796945208,-0.7775407892710211,0.8557564954387067,0.7190929703981238,-0.05939183049878599,-0.020447889043339502,-0.04706329971261046,0.1021864303440722
unique_visits,0.9994880551678327,1,0.9633064035657367,-0.7846573766321727,-0.782561719161559,0.8571915360505401,0.7330033353150088,-0.06923297223693649,-0.03342857101988162,-0.05622245030811624,0.09633860402240817
pageviews,0.9690719233562537,0.9633064035657367,1,-0.6733214517703859,-0.6801484502575992,0.7794904221337774,0.6259996512416651,0.035410822977839214,0.0870423539530188,0.030229901404880407,0.1614908628767694
pages_visit,-0.7807306796945208,-0.7846573766321727,-0.6733214517703859,1,0.9528642844266768,-0.9605591166402022,-0.828625300043792,0.2622977161111944,0.2393688510909553,0.1653414343920171,0.16553919495419403
avg_time,-0.7775407892710211,-0.782561719161559,-0.6801484502575992,0.9528642844266768,1,-0.9222148859500952,-0.8197012009245804,0.23804727682090462,0.2198003664251598,0.1441504206655751,0.11609907893690273
bounce_rate,0.8557564954387067,0.8571915360505401,0.7794904221337774,-0.9605591166402022,-0.9222148859500952,1,0.8260708174603306,-0.15567988799227378,-0.1370057451528345,-0.08685217603029008,-0.14662257058322856
pct_new,0.7190929703981238,0.7330033353150088,0.6259996512416651,-0.828625300043792,-0.8197012009245804,0.8260708174603306,1,-0.21612262456549275,-0.2190819464231933,-0.20845902679233297,-0.15312070343629236
revenue,-0.05939183049878599,-0.06923297223693649,0.035410822977839214,0.2622977161111944,0.23804727682090462,-0.15567988799227378,-0.21612262456549275,1,0.8872251121745942,0.868929712861614,0.0501890380761419
profit,-0.020447889043339502,-0.03342857101988162,0.0870423539530188,0.2393688510909553,0.2198003664251598,-0.1370057451528345,-0.2190819464231933,0.8872251121745942,1,0.7197823653649428,0.07002208786400328
lbs_sold,-0.04706329971261046,-0.05622245030811624,0.030229901404880407,0.1653414343920171,0.1441504206655751,-0.08685217603029008,-0.20845902679233297,0.868929712861614,0.7197823653649428,1,0.004177103887016327
inquiries,0.1021864303440722,0.09633860402240817,0.1614908628767694,0.16553919495419403,0.11609907893690273,-0.14662257058322856,-0.15312070343629236,0.0501890380761419,0.07002208786400328,0.004177103887016327,1
